url_hash_id,client_hash_id,word_count,days_since_update,clicks_last_30d,peak_clicks_30d,log_peak_clicks,target_click_loss,predicted_click_loss,action,reason_code
url_4e5998a2f3d7052c,client_06d356715a8ff3b6,2464,69,0.0,46,3.8501476017100584,46.0,45.93695174470706,PRIORITY_REFRESH,STALE_CONTENT_HIGH_LOSS
url_f2d810a942dc73b3,client_23a62021009f63c4,2820,69,0.0,47,3.8712010109078907,47.0,44.16528134768682,PRIORITY_REFRESH,STALE_CONTENT_HIGH_LOSS
url_020eabeaf1e5f617,client_e547b89c05043229,1342,56,0.0,42,3.7612001156935624,42.0,43.95054283373516,PRIORITY_REFRESH,STALE_CONTENT_HIGH_LOSS
url_8c63e8388b4aa5af,client_8ddc46da5414ffd8,2414,91,0.0,55,4.02535169073515,55.0,43.315882718124676,PRIORITY_REFRESH,STALE_CONTENT_HIGH_LOSS
url_4bc9575dc0732b78,client_0fa64a184f18a4a0,2749,79,0.0,37,3.6375861597263857,37.0,42.80106807286075,PRIORITY_REFRESH,STALE_CONTENT_HIGH_LOSS
url_84d219d7db2f01c4,client_73cda7b4e4f265ea,2815,54,0.0,38,3.6635616461296463,38.0,41.797820511007686,PRIORITY_REFRESH,STALE_CONTENT_HIGH_LOSS
url_34d28e99f4a1a25f,client_8ddc46da5414ffd8,2812,79,0.0,44,3.8066624897703196,44.0,41.1549580499738,PRIORITY_REFRESH,STALE_CONTENT_HIGH_LOSS
url_4cc67e5bc6236ee4,client_0fa64a184f18a4a0,2535,91,0.0,44,3.8066624897703196,44.0,40.633471661005636,PRIORITY_REFRESH,STALE_CONTENT_HIGH_LOSS
url_65ada558ccd332c4,client_23a62021009f63c4,3477,69,0.0,44,3.8066624897703196,44.0,38.330608504120534,PRIORITY_REFRESH,STALE_CONTENT_HIGH_LOSS
url_884a435bf22a44b3,client_e5c2aa26a8598242,2838,70,0.0,38,3.6635616461296463,38.0,37.86020489213968,PRIORITY_REFRESH,STALE_CONTENT_HIGH_LOSS
url_31750e922fd83f18,client_86ebc2f12c01f586,2948,49,0.0,35,3.58351893845611,35.0,36.958205931616334,PRIORITY_REFRESH,STALE_CONTENT_HIGH_LOSS
url_eca652675a6cb8e1,client_e547b89c05043229,3233,49,0.0,35,3.58351893845611,35.0,36.958205931616334,PRIORITY_REFRESH,STALE_CONTENT_HIGH_LOSS
url_f56e5e5d46b5a8ce,client_e5c2aa26a8598242,2740,58,0.0,32,3.4965075614664802,32.0,36.89161760916946,PRIORITY_REFRESH,STALE_CONTENT_HIGH_LOSS
url_0353e967809f9ce6,client_23a62021009f63c4,3785,46,0.0,36,3.6109179126442243,36.0,36.58236583977331,PRIORITY_REFRESH,STALE_CONTENT_HIGH_LOSS
url_cd60116da6ccea82,client_86ebc2f12c01f586,1655,56,0.0,39,3.6888794541139363,39.0,36.50162540498294,PRIORITY_REFRESH,STALE_CONTENT_HIGH_LOSS
url_88364387a81de874,client_23a62021009f63c4,3075,62,0.0,34,3.5553480614894135,34.0,35.738888538215534,PRIORITY_REFRESH,STALE_CONTENT_HIGH_LOSS
url_3b3beba31fcfe0ec,client_20259bd6705d81d4,3731,91,0.0,33,3.5263605246161616,33.0,35.57920161176427,PRIORITY_REFRESH,STALE_CONTENT_HIGH_LOSS
url_580ebfadc7ed6001,client_e547b89c05043229,3097,68,0.0,33,3.5263605246161616,33.0,35.169313740634195,PRIORITY_REFRESH,STALE_CONTENT_HIGH_LOSS
url_fbaf1b5dfb31bad1,client_e547b89c05043229,1114,56,0.0,36,3.6109179126442243,36.0,34.951507747389684,PRIORITY_REFRESH,STALE_CONTENT_HIGH_LOSS
url_1d9f6a86351e5d25,client_8ddc46da5414ffd8,2568,91,0.0,42,3.7612001156935624,42.0,34.82021022557577,PRIORITY_REFRESH,STALE_CONTENT_HIGH_LOSS
url_77359ba72c0c749a,client_20259bd6705d81d4,3992,91,0.0,43,3.784189633918261,43.0,33.80420680903912,PRIORITY_REFRESH,STALE_CONTENT_HIGH_LOSS
url_ee38cd930627db0d,client_86ebc2f12c01f586,2838,70,0.0,32,3.4965075614664802,32.0,33.78419225481624,PRIORITY_REFRESH,STALE_CONTENT_HIGH_LOSS
url_8cd56fe0d432c990,client_86ebc2f12c01f586,3056,70,0.0,37,3.6375861597263857,37.0,33.76661163491404,PRIORITY_REFRESH,STALE_CONTENT_HIGH_LOSS
url_bf165a8284ab2df0,client_e547b89c05043229,2865,85,0.0,32,3.4965075614664802,32.0,33.722280363211155,PRIORITY_REFRESH,STALE_CONTENT_HIGH_LOSS
url_d015b9b7532e6e81,client_e547b89c05043229,2895,68,0.0,35,3.58351893845611,35.0,33.61225144462394,PRIORITY_REFRESH,STALE_CONTENT_HIGH_LOSS
url_29ea058f67694334,client_73cda7b4e4f265ea,1289,54,0.0,33,3.5263605246161616,33.0,33.17682722030721,PRIORITY_REFRESH,STALE_CONTENT_HIGH_LOSS
url_53d9925ad6b610fd,client_08a6a72ff48e62c0,0,122,0.0,32,3.4965075614664802,32.0,33.09839319934852,PRIORITY_REFRESH,STALE_CONTENT_HIGH_LOSS
url_d970f239a223b12b,client_e547b89c05043229,2716,96,0.0,32,3.4965075614664802,32.0,33.03027561919065,PRIORITY_REFRESH,STALE_CONTENT_HIGH_LOSS
url_964d86e4e2da4b7c,client_23a62021009f63c4,3251,58,0.0,30,3.4339872044851463,30.0,32.818466733829425,PRIORITY_REFRESH,STALE_CONTENT_HIGH_LOSS
url_8fb9b7976406c0ed,client_06d356715a8ff3b6,2361,69,0.0,32,3.4965075614664802,32.0,32.739349448729854,PRIORITY_REFRESH,STALE_CONTENT_HIGH_LOSS
url_cdc791468259c1dd,client_86ebc2f12c01f586,2896,49,0.0,34,3.5553480614894135,34.0,32.447777985791134,PRIORITY_REFRESH,STALE_CONTENT_HIGH_LOSS
url_17495b0e09cac640,client_e547b89c05043229,3140,50,0.0,34,3.5553480614894135,34.0,32.447777985791134,PRIORITY_REFRESH,STALE_CONTENT_HIGH_LOSS
url_f998730e073ce151,client_1a8bf67cad4ee525,2409,49,0.0,34,3.5553480614894135,34.0,32.13356938131841,PRIORITY_REFRESH,STALE_CONTENT_HIGH_LOSS
url_ffa32b06f98b0049,client_73cda7b4e4f265ea,1856,54,0.0,34,3.5553480614894135,34.0,32.064848627598295,PRIORITY_REFRESH,STALE_CONTENT_HIGH_LOSS
url_901f75b41042a908,client_20259bd6705d81d4,3272,91,0.0,31,3.4657359027997265,31.0,31.491753591204496,PRIORITY_REFRESH,STALE_CONTENT_HIGH_LOSS
url_265dfe532ae157ab,client_8ddc46da5414ffd8,3142,91,0.0,31,3.4657359027997265,31.0,31.491753591204496,PRIORITY_REFRESH,STALE_CONTENT_HIGH_LOSS
url_f24648da3f22224b,client_20259bd6705d81d4,3418,91,0.0,31,3.4657359027997265,31.0,31.491753591204496,PRIORITY_REFRESH,STALE_CONTENT_HIGH_LOSS
url_8ac099a0d2fb130a,client_73cda7b4e4f265ea,1696,54,0.0,32,3.4965075614664802,32.0,31.37008715062449,PRIORITY_REFRESH,STALE_CONTENT_HIGH_LOSS
url_26765bde9978e0f6,client_86ebc2f12c01f586,1690,50,0.0,32,3.4965075614664802,32.0,31.37008715062449,PRIORITY_REFRESH,STALE_CONTENT_HIGH_LOSS
url_14c1684bcebe21b5,client_73cda7b4e4f265ea,1167,54,0.0,32,3.4965075614664802,32.0,31.37008715062449,PRIORITY_REFRESH,STALE_CONTENT_HIGH_LOSS
url_8468a637deb019d4,client_b77d0d5f08f05e64,2100,56,0.0,32,3.4965075614664802,32.0,31.17666628220311,PRIORITY_REFRESH,STALE_CONTENT_HIGH_LOSS
url_38eb7bce9297b4c7,client_e547b89c05043229,2862,68,0.0,30,3.4339872044851463,30.0,31.161674859527185,PRIORITY_REFRESH,STALE_CONTENT_HIGH_LOSS
url_21ba4225fd2cc998,client_b77d0d5f08f05e64,1769,56,0.0,32,3.4965075614664802,32.0,31.107945528483,PRIORITY_REFRESH,STALE_CONTENT_HIGH_LOSS
url_0041190cb5513925,client_e5c2aa26a8598242,2609,70,0.0,31,3.4657359027997265,31.0,30.98260773986809,PRIORITY_REFRESH,STALE_CONTENT_HIGH_LOSS
url_15e01650d807f3e5,client_73cda7b4e4f265ea,2153,54,0.0,31,3.4657359027997265,31.0,30.580623782195808,PRIORITY_REFRESH,STALE_CONTENT_HIGH_LOSS
url_f3e3ad1ed09267fb,client_73cda7b4e4f265ea,1038,54,0.0,31,3.4657359027997265,31.0,30.511903028475697,PRIORITY_REFRESH,STALE_CONTENT_HIGH_LOSS
url_5066c6385e05d0d5,client_86ebc2f12c01f586,2836,49,0.0,31,3.4657359027997265,31.0,30.281650558940175,PRIORITY_REFRESH,STALE_CONTENT_HIGH_LOSS
url_0da0de97ab5602c4,client_e5c2aa26a8598242,2418,70,0.0,29,3.4011973816621555,29.0,29.307044293328,PRIORITY_REFRESH,STALE_CONTENT_HIGH_LOSS
url_7a4cca66abbfbbfb,client_86ebc2f12c01f586,2650,79,0.0,29,3.4011973816621555,29.0,29.289777209623086,PRIORITY_REFRESH,STALE_CONTENT_HIGH_LOSS
url_aa2920b719bb159f,client_e547b89c05043229,2950,68,0.0,29,3.4011973816621555,29.0,29.23108359168392,PRIORITY_REFRESH,STALE_CONTENT_HIGH_LOSS
url_6a788b9c896c9c00,client_8ddc46da5414ffd8,3257,91,0.0,35,3.58351893845611,35.0,29.118144927366494,PRIORITY_REFRESH,STALE_CONTENT_HIGH_LOSS
url_cbec6fb790588b7b,client_73cda7b4e4f265ea,1205,54,0.0,29,3.4011973816621555,29.0,28.9918815446886,PRIORITY_REFRESH,STALE_CONTENT_HIGH_LOSS
url_1aa6e9538b3d46c3,client_20259bd6705d81d4,4039,91,0.0,37,3.6375861597263857,37.0,28.89844393707969,PRIORITY_REFRESH,STALE_CONTENT_HIGH_LOSS
